PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
320,40,1.394,570.1560366,,,1.108688522,,1.842876,,
321,80,0.6173,90,,,,9.13103025,11.649251,,
322,60,0.6976,2224.0625,1.124533,,1.030713,,,,
323,60,0.6361,2224.0625,1.14095,,1.030713,,,,
324,50,3.7494,3577,,,,,2.740946,,5.064924
325,50,4.6146,3577,,,,,2.740946,,5.064924
326,20,3.042,9007.050938,,,49.66677505,55.181,,,
327,20,0.1056,470.448,,,2.74577,,,,2.880942
328,20,0.07,411.642,,,2.707262,,,,2.58691
329,55,3.8625,907.15625,,28.545798,,20.610387,,,
330,55,3.8625,907.15625,,28.594367,,20.610387,,,
331,20,2.3776,29386.98693,1.43087,,,,1.306784,,
332,20,2.3615,29386.98693,1.43087,,,,1.306784,,
333,50,4.7593,299.52,4.115172,,,,3.748984,,
334,50,4.7408,299.52,4.115172,,,,3.748984,,
335,40,1.3448,1696,,,,2.701329,,,3.387141
336,40,1.3448,1696,,,,2.701329,,,3.387141
337,40,1.9731,8534.61,,,,5.767215,,,5.8963
338,40,1.9731,8534.61,,,,5.767215,,,5.8963
339,40,0.5732,188.5714286,,,,1.03175,,,1.113812
340,40,0.5732,188.5714286,,,,1.03175,,,1.113812
341,40,0.7937,519.2307692,,,,2.431062,,,2.213821
342,40,0.7937,519.2307692,,,,2.431062,,,2.213821
343,40,3.7919,4500,,,,14.598209,,,15.261315
344,40,0.6614,185.6279928,,2.879154,,,,,3.07184
345,40,0.0031,0.8522906,3.302338421,,,,,,1.794252121
346,80,1.2354,2945.217588,,,1.200277864,,1.37643,,
347,40,1.918,8534.61,,,,5.767215,,,5.8963
348,40,1.918,8534.61,,,,5.767215,,,5.8963
349,40,0.8047,1012,,,,4.241799,,,4.661713
350,40,0.8047,1012,,,,4.241799,,,4.661713
351,55,5.6753,1796.640625,,30.017533,,22.235069,,,
352,60,1.4112,612,,,,,6.426699,,6.28639
