PARTNUM,partgroup,partweight,part ft3,CANADA,CHINA,GERMANY,MEXICO,SOUTH KOREA,SPAIN,UNITED STATES
488.0,60.0,23.6994,3734.86,20.5132,20.8069,21.0203,17.3921,21.4288,16.774,20.83
489.0,50.0,16.5314,1515.43,7.35697,7.74591,7.50469,7.75937,7.76734,7.14123,7.67377
490.0,50.0,16.5284,1515.43,7.35697,7.74591,7.50469,7.75937,7.76734,7.14123,7.67377
491.0,50.0,12.1914,10513.4,18.7243,19.0901,17.8678,18.7243,18.7762,18.1062,19.068
492.0,50.0,12.1694,10513.4,18.7243,19.3634,17.8678,18.7243,17.2457,18.1062,19.068
493.0,55.0,0.5512,3876.0,2.26341,2.42514,2.77048,2.63549,1.41821,2.01735,2.5802
494.0,55.0,0.5512,3876.0,2.26341,2.42514,2.77048,2.63549,1.41821,2.01735,2.5802
495.0,30.0,3.0313,3073.6,4.19893,4.00468,4.56249,4.19893,4.22776,3.5808,4.53049
496.0,40.0,11.486,9360.0,88.1466,86.6647,85.5003,88.2574,87.7527,87.6393,94.4597
497.0,40.0,11.486,9360.0,88.1466,86.6647,85.5003,88.2574,87.7527,87.6393,94.4597
498.0,40.0,11.4639,9360.0,88.9557,87.4738,86.3094,89.0665,87.5682,88.4484,94.2752
